exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, t_novsA, t_novsB, tTDD
Set parameter Username
1, 7, 10, 0.45, 3, 3, 1, -79.45, -78.28, 2.45, 2.44, 2.54
2, 7, 10, 0.45, 3, 3, 2, -80.43, -62.71, 2.42, 2.50, 2.43
3, 7, 10, 0.45, 3, 3, 2, -74.76, -72.22, 2.23, 2.30, 2.24
4, 7, 10, 0.45, 3, 3, 1, -56.32, -54.75, 2.43, 2.56, 2.45
5, 7, 10, 0.45, 3, 3, 2, -37.58, -33.18, 2.71, 2.73, 2.77
6, 7, 10, 0.45, 3, 3, 1, -109.43, -107.45, 2.25, 2.25, 2.25
7, 7, 10, 0.45, 3, 3, 1, -71.07, -68.88, 2.64, 2.65, 2.66
8, 7, 10, 0.45, 3, 3, 3, -83.35, -78.77, 1.85, 1.86, 1.85
9, 7, 10, 0.45, 3, 3, 1, -77.02, -72.32, 2.37, 2.39, 2.40
10, 7, 10, 0.45, 3, 3, 2, -49.58, -45.56, 2.76, 2.76, 2.75
11, 7, 10, 0.45, 3, 3, 1, -89.59, -77.90, 2.68, 2.71, 2.70
12, 7, 10, 0.45, 3, 3, 2, -92.62, -84.97, 2.37, 2.38, 2.41
13, 7, 10, 0.45, 3, 3, 1, -80.22, -70.68, 2.29, 2.32, 2.34
14, 7, 10, 0.45, 3, 3, 1, -61.53, -58.14, 2.11, 2.11, 2.14
15, 7, 10, 0.45, 3, 3, 3, -108.97, -103.60, 2.27, 2.36, 2.28
16, 7, 10, 0.45, 3, 3, 2, -95.49, -93.37, 2.77, 2.79, 2.78
17, 7, 10, 0.45, 3, 3, 1, -65.48, -59.91, 2.21, 2.23, 2.23
18, 7, 10, 0.45, 3, 3, 1, -63.03, -58.96, 2.16, 2.18, 2.19
19, 7, 10, 0.45, 3, 3, 1, -70.40, -67.33, 2.19, 2.22, 2.20
20, 7, 10, 0.45, 3, 3, 1, -70.52, -66.78, 1.53, 1.54, 1.54
21, 7, 10, 0.45, 3, 3, 3, -56.14, -48.66, 2.31, 2.34, 2.32
22, 7, 10, 0.45, 3, 3, 2, -53.54, -52.40, 2.79, 2.83, 2.81
23, 7, 10, 0.45, 3, 3, 1, -67.41, -66.00, 2.86, 2.88, 2.87
24, 7, 10, 0.45, 3, 3, 1, -85.09, -74.23, 2.25, 2.24, 2.28
25, 7, 10, 0.45, 3, 3, 1, -47.53, -45.66, 2.00, 2.00, 2.00
26, 7, 10, 0.45, 3, 3, 2, -85.29, -80.56, 1.97, 1.98, 1.98
27, 7, 10, 0.45, 3, 3, 2, -74.70, -69.71, 2.23, 2.26, 2.27
28, 7, 10, 0.45, 3, 3, 2, -62.22, -49.81, 2.34, 2.35, 2.37
29, 7, 10, 0.45, 3, 3, 1, -87.89, -78.95, 2.29, 2.28, 2.28
30, 7, 10, 0.45, 3, 3, 1, -62.05, -60.76, 2.63, 2.66, 2.66
31, 7, 10, 0.45, 3, 3, 1, -64.55, -62.25, 1.89, 1.95, 1.92
32, 7, 10, 0.45, 3, 3, 1, -35.55, -34.39, 2.65, 2.78, 2.66
33, 7, 10, 0.45, 3, 3, 1, -73.67, -71.12, 2.14, 2.17, 2.20
34, 7, 10, 0.45, 3, 3, 1, -102.78, -91.99, 2.51, 2.61, 2.52
35, 7, 10, 0.45, 3, 3, 1, -79.16, -73.43, 1.89, 1.94, 1.89
36, 7, 10, 0.45, 3, 3, 1, -45.27, -34.43, 2.57, 2.60, 2.58
37, 7, 10, 0.45, 3, 3, 1, -87.93, -83.72, 1.42, 1.43, 1.43
38, 7, 10, 0.45, 3, 3, 1, -78.14, -76.18, 2.65, 2.64, 2.64
39, 7, 10, 0.45, 3, 3, 1, -59.00, -51.85, 2.24, 2.28, 2.28
40, 7, 10, 0.45, 3, 3, 1, -68.69, -66.65, 2.49, 2.48, 2.50
41, 7, 10, 0.45, 3, 3, 3, -84.16, -76.31, 1.80, 1.80, 1.81
42, 7, 10, 0.45, 3, 3, 1, -75.26, -73.77, 1.99, 1.98, 2.00
43, 7, 10, 0.45, 3, 3, 2, -73.32, -68.35, 2.74, 2.75, 2.74
44, 7, 10, 0.45, 3, 3, 1, -87.50, -79.24, 2.11, 2.12, 2.12
45, 7, 10, 0.45, 3, 3, 1, -87.47, -83.23, 2.26, 2.36, 2.46
46, 7, 10, 0.45, 3, 3, 1, -71.47, -64.42, 1.89, 1.91, 1.92
47, 7, 10, 0.45, 3, 3, 1, -57.52, -56.14, 2.48, 2.56, 2.49
48, 7, 10, 0.45, 3, 3, 2, -78.82, -74.57, 2.58, 2.63, 2.59
49, 7, 10, 0.45, 3, 3, 3, -68.23, -66.33, 2.38, 2.39, 2.46
50, 7, 10, 0.45, 3, 3, 2, -67.78, -63.86, 2.28, 2.26, 2.30
51, 7, 10, 0.45, 3, 3, 3, -66.30, -64.42, 3.08, 3.60, 2.96
52, 7, 10, 0.45, 3, 3, 1, -83.76, -80.21, 2.59, 2.73, 2.59
53, 7, 10, 0.45, 3, 3, 2, -87.21, -84.76, 2.32, 2.33, 2.51
54, 7, 10, 0.45, 3, 3, 1, -63.71, -60.23, 2.41, 2.41, 2.41
55, 7, 10, 0.45, 3, 3, 5, -81.33, -72.36, 1.67, 1.67, 1.67
56, 7, 10, 0.45, 3, 3, 1, -69.94, -66.23, 2.15, 2.18, 2.19
57, 7, 10, 0.45, 3, 3, 2, -86.13, -80.77, 2.58, 2.66, 2.63
58, 7, 10, 0.45, 3, 3, 2, -84.86, -76.06, 2.00, 2.11, 2.07
59, 7, 10, 0.45, 3, 3, 4, -68.95, -63.14, 2.51, 2.55, 2.53
60, 7, 10, 0.45, 3, 3, 2, -96.75, -95.20, 2.28, 2.29, 2.30
61, 7, 10, 0.45, 3, 3, 2, -88.95, -80.61, 2.25, 2.27, 2.26
62, 7, 10, 0.45, 3, 3, 1, -83.37, -82.20, 2.66, 2.65, 2.70
63, 7, 10, 0.45, 3, 3, 4, -94.72, -90.09, 2.34, 2.34, 2.34
64, 7, 10, 0.45, 3, 3, 1, -69.89, -68.69, 1.97, 1.97, 2.00
